Date,Open,High,Low,Close,Volume
04-12-2017,913.5,913.799988,897.349976,901.599976,4618847
05-12-2017,901.049988,920.75,895.450012,913.700012,8369174
06-12-2017,910,930.299988,908.799988,926.650024,11007689
07-12-2017,930.049988,936,923,931.549988,5529565
08-12-2017,933.849976,936.950012,919.049988,921,5588486
11-12-2017,922.450012,926,913.549988,916.150024,4933853
12-12-2017,915.950012,929,908,915.599976,7215014
13-12-2017,916.900024,924.950012,910.700012,914.650024,4182097
14-12-2017,919,924.900024,908.75,921.5,5021130
15-12-2017,931,932.950012,917.700012,919.75,11158706
18-12-2017,911.950012,932.650024,862.650024,921,8494801
19-12-2017,923.599976,927,920,925.950012,4064982
20-12-2017,925.900024,927.400024,917,918.150024,4774414
21-12-2017,918.450012,923.950012,910,912.950012,4147162
22-12-2017,914.650024,922.400024,909.299988,920.400024,4872675
26-12-2017,924.849976,938.900024,918.150024,929.799988,5301456
27-12-2017,933,937.5,919,923.75,4352384
28-12-2017,925.25,934.400024,919.099976,924.200012,7091515
29-12-2017,926.5,932.299988,918.5,921.049988,5069838
01-01-2018,922.700012,922.700012,907.5,909.75,4321686
02-01-2018,913,919.549988,906.400024,911.150024,4342815
03-01-2018,925,926,913.049988,914.799988,6175312
04-01-2018,918.150024,921.799988,915.700012,920.299988,4118581
05-01-2018,921.799988,926.900024,920.25,923.25,3401905
08-01-2018,926.099976,931,923.5,928.549988,4035417
09-01-2018,928.150024,943.900024,924,940.950012,6534997
10-01-2018,943,947.400024,935.5,942.349976,5361502
11-01-2018,941.799988,942.650024,935,937.75,3588377
12-01-2018,943,952.799988,938.25,949,6890028
15-01-2018,950,958.5,945.200012,949.150024,5084113
16-01-2018,947.700012,947.700012,920,922.950012,4948895
17-01-2018,926,929,907,924.5,6036432
18-01-2018,929,929.599976,915.099976,919.700012,4289053
19-01-2018,923,934.400024,922.099976,931.299988,4559564
22-01-2018,948,974.299988,940,971.5,20892838
23-01-2018,975,990.950012,975,983.25,10298500
24-01-2018,981.75,981.75,962.650024,966.349976,6532672
25-01-2018,967.900024,972,956.150024,965.900024,6249419
29-01-2018,966.200012,977.299988,959.299988,964.5,4524605
30-01-2018,965.799988,965.799988,949,950.400024,4198139
31-01-2018,950,964.5,941.549988,961.299988,5738209
01-02-2018,963.25,972.599976,936.599976,943.849976,7554587
02-02-2018,935,943.950012,901,904.349976,13242095
05-02-2018,894,912.5,881.799988,902.150024,8773525
06-02-2018,877,898,871,892.099976,11000567
07-02-2018,902.549988,905.400024,890,894.400024,7100838
08-02-2018,897.900024,910.650024,892.349976,904.549988,6320734
09-02-2018,889,902,886,897.849976,5294279
12-02-2018,903,918.200012,902.049988,915.5,5429792
14-02-2018,923,942.5,921,933.650024,10170959
15-02-2018,937.650024,945.75,928.150024,935.650024,6109454
16-02-2018,939.599976,942.599976,918.099976,921.299988,4401672
19-02-2018,921,932,913.549988,927,4087936
20-02-2018,929,929.549988,918.799988,921.099976,3866919
21-02-2018,930,932.5,922.150024,929.349976,5448230
22-02-2018,922,931,920,924.349976,5118850
23-02-2018,925.400024,938,922.75,934.25,4850839
26-02-2018,939,944.900024,936.599976,938.700012,3856478
27-02-2018,939,955.799988,938.349976,950.5,6410097
28-02-2018,945.950012,957.099976,943.200012,954.549988,25898694
01-03-2018,949.75,959.900024,945.950012,948.400024,4094652
05-03-2018,943,950.150024,921.599976,924.099976,5634893
06-03-2018,929,936.200012,905.099976,910.849976,7323680
07-03-2018,909.25,909.25,888.049988,889.75,7247708
08-03-2018,897.650024,914.5,893.299988,911.450012,6072983
09-03-2018,914.900024,919.349976,911.049988,913.099976,4863577
12-03-2018,920,933.099976,917.549988,930.299988,3801407
13-03-2018,931.900024,936,921.349976,931.849976,5096825
14-03-2018,928.799988,932.049988,919.200012,929.049988,6731530
15-03-2018,925,929.450012,910,911.799988,5811424
16-03-2018,909,909.700012,886.049988,900.049988,14087564
19-03-2018,901,906.900024,892,895.5,5774392
20-03-2018,893.299988,904,887.049988,889.799988,6945721
21-03-2018,894.849976,902.349976,893.299988,896.900024,6727261
22-03-2018,896,911.950012,895.75,908.150024,10116965
23-03-2018,890.599976,900,889.099976,893.900024,10729694
26-03-2018,893.950012,904.299988,892.5,901.099976,6047262
27-03-2018,907.200012,910.75,897,899.799988,6939577
28-03-2018,895.799988,895.849976,880,882.700012,8759586
02-04-2018,893,900.950012,886.5,892.950012,5712065
03-04-2018,891,901.700012,885.25,899.549988,6364728
04-04-2018,904.700012,911.799988,892.049988,894.900024,6498407
05-04-2018,905.099976,910,903.5,908.200012,3898676
06-04-2018,908,918.5,905,911,4418462
09-04-2018,912.549988,919,912.549988,916,3572251
10-04-2018,918.400024,923.900024,914.150024,917.049988,3865402
11-04-2018,921.799988,932.75,916.049988,930.849976,6007539
12-04-2018,929.849976,936.650024,924.200012,928.700012,4947725
13-04-2018,932.700012,941.700012,928.700012,938.849976,5767984
16-04-2018,934.450012,940,928.5,937.049988,4084450
17-04-2018,940,947.200012,936,944.25,4388713
18-04-2018,945.25,948.200012,935.049988,938,3365196
19-04-2018,939.099976,945,935,942.299988,4481413
20-04-2018,938,941.849976,921.200012,927.900024,3349519
23-04-2018,930,944.349976,928.5,936,3508515
24-04-2018,935.799988,975.700012,935,970.049988,9107264
25-04-2018,973.650024,981.799988,963.549988,970.5,6436620
26-04-2018,973,988,962.25,975.349976,15588001
27-04-2018,989.799988,1011,985.5,996.299988,11666267
30-04-2018,982,992.599976,960,963.299988,8871802
02-05-2018,967,979.200012,965.049988,972.700012,6117761
03-05-2018,977.900024,977.900024,959.25,961.599976,3947546
04-05-2018,962.849976,964.700012,950,953.950012,3795692
07-05-2018,958.849976,973.25,956.349976,971,3512532
08-05-2018,977.5,982,965.200012,967.099976,4934036
09-05-2018,965.900024,984.299988,962.25,976.700012,4494423
10-05-2018,980,984.599976,974.25,981.150024,4014645
